工号,层级,物料编码,物料描述,批次,特性值
Z161263904,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263904,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263917,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263917,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263917,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263931,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263931,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263931,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263961,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263961,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263961,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263963,1,A599000050,导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1,,
Z161263963,2,A599407063,导靴罩装配_16541537_A_SP-8MC1,,
Z161263991,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263991,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263991,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161263999,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161263999,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161263999,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264000,1,A599000050,导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1,,
Z161264000,2,A599407063,导靴罩装配_16541537_A_SP-8MC1,,
Z161264017,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264017,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264017,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264028,1,A599013805,下导靴装配_13529850_E_SP-8/13ML_T75/B,,
Z161264028,2,A599013788,导靴装配_13529477_E_SP-8/13ML_T75/B,,
Z161264028,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264043,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264043,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264043,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264047,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264047,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264047,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264071,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264071,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264071,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264074,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264074,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264074,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264077,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264077,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264077,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264093,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264093,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264093,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264097,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264097,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264097,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264098,1,A599013805,下导靴装配_13529850_E_SP-8/13ML_T75/B,,
Z161264098,2,A599013788,导靴装配_13529477_E_SP-8/13ML_T75/B,,
Z161264098,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264108,1,A599013805,下导靴装配_13529850_E_SP-8/13ML_T75/B,,
Z161264108,2,A599013788,导靴装配_13529477_E_SP-8/13ML_T75/B,,
Z161264108,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264110,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264110,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264110,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264128,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264128,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264128,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264129,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264129,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264129,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264143,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264143,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264143,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264144,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264144,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264144,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264146,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264146,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264146,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264155,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264155,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264155,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264174,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264174,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264174,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264175,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264175,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264175,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264185,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264185,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264185,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264187,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264187,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264187,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264189,1,A599013805,下导靴装配_13529850_E_SP-8/13ML_T75/B,,
Z161264189,2,A599013788,导靴装配_13529477_E_SP-8/13ML_T75/B,,
Z161264189,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264194,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264194,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264194,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264199,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264199,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264199,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264203,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264203,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264203,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264212,1,A599013805,下导靴装配_13529850_E_SP-8/13ML_T75/B,,
Z161264212,2,A599013788,导靴装配_13529477_E_SP-8/13ML_T75/B,,
Z161264212,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264216,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264216,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264216,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
