"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"18G108433-B03-01","HGP-S-825-CO105","Z161267876","立柱组合","1","2019/6/9 0:00","2019/6/6","1","43","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"18G091139-B03-01","HGE-Ⅲ-825-CO105","Z161267876","立柱组合","1","2019/6/9 0:00","2019/6/6","2","16","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"18G108437-B03-01","HGP-S-825-CO105","Z161267876","立柱组合","1","2019/6/9 0:00","2019/6/6","2","17","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"17G062284-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","1","46","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G108439-B03-01","HGP-S-825-CO105","Z161267845","立柱组合","1","2019/6/9 0:00","2019/6/6","1","55","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G089227-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","1","47","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G072673-B03-01","HGE-Ⅲ-1050-CO90","Z161267839","立柱组合","1","2019/6/9 0:00","2019/6/6","1","52","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G109959-B03-01","HGE-Ⅲ-825-CO105","Z161267845","立柱组合","1","2019/6/9 0:00","2019/6/6","2","28","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G089226-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","1","48","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G074902-B03-01","MCA-Ⅱ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","1","49","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
