"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"17G082664-B03-01","HGE-Ⅲ-825-CO60","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","14","","","",""
"19G007651-B03-01","MCA-Ⅱ-1150-CO150","Z151263885","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","75","","","",""
"18G089232-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","21","","","",""
"18G016395-B03-01","LGE-825-CO60","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","1","4","","","",""
"18G016397-B03-01","LGE-825-CO60","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","2","55","","","",""
"17G062283-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","23","","","",""
"16G066815-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","69","","","",""
"18G012426-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","1","18","","","",""
"18G120831-B03-01","MCA-Ⅱ-825-CO120","Z151264096","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","39","","","",""
"18G119863-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","12","","","",""
"18G090441-B03-01","HGE-Ⅲ-825-CO90","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","13","","","",""
"17G093767-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","22","","","",""
"17G062281-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","20","","","",""
"17G002845-B03-01","LGE-825-CO60","A571259273","上横梁装配_C0104085_F_轿内宽1400","1","2019/6/9 0:00","2019/6/6","2","70","","","",""
"18G113308-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","1","15","","","",""
"19R000439-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","42","","","",""
"18G109959-B03-01","HGE-Ⅲ-825-CO105","Z151263887","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","28","","","",""
"18G096005-B03-01","HGE-Ⅲ-825-CO90","Z151264002","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","31","","","",""
"18G082616-B03-01","LGE-450-CO60","A571258942","上横梁装配_C0098879_A_轿内宽1000","1","2019/6/9 0:00","2019/6/6","1","26","","","",""
"17G062285-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","22","","","",""
"18G109575-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","5","","","",""
"18G120828-B03-01","MCA-Ⅱ-825-CO120","Z151264096","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","65","","","",""
"17G093769-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","2","69","","","",""
"18G065823-B03-01","HGE-Ⅲ-1050-CO90","Z151263879","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","33","","","",""
"16G066814-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","73","","","",""
"16G066892-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","44","","","",""
"18G108441-B03-01","HGP-S-825-CO105","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","42","","","",""
"17G093766-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","24","","","",""
"18G119862-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","2","57","","","",""
"18G065824-B03-01","HGE-Ⅲ-1050-CO90","Z151263879","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","32","","","",""
"18G047702-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","66","","","",""
"17G085611-B03-01","LCA-Ⅱ-1050-CO105","A571259274","上横梁装配_C0104085_G_轿内宽1500","1","2019/6/9 0:00","2019/6/6","2","62","","","",""
"18G109574-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","2","52","","","",""
"18G089226-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","48","","","",""
"18G024816-B03-01","HGE-Ⅲ-1050-CO105","Z151263880","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","2","","","",""
"18G052586-B03-01","MCA-Ⅱ-1050-2S120","Z151264476","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","36","","","",""
"18G096007-B03-01","HGE-Ⅲ-825-CO90","Z151263934","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","6","","","",""
"18G108433-B03-01","HGP-S-825-CO105","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","43","","","",""
"17G082708-B03-01","HGE-Ⅲ-825-CO60","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","15","","","",""
"18G093934-B03-01","LCA-Ⅱ-1050-CO60","A571258935","上横梁装配_C0098880_A_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","68","","","",""
"19G035175-B03-01","MCA-Ⅱ-1050-CO90","Z151264675","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","36","","","",""
"17G080740-B03-01","LGE-630-CO60","A571258674","上横梁装配_C0099960_A_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","2","","","",""
"18G119860-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","11","","","",""
"18G082615-B03-01","LGE-450-CO60","A571258942","上横梁装配_C0098879_A_轿内宽1000","1","2019/6/9 0:00","2019/6/6","999","","","","",""
"18G047700-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","40","","","",""
"16G066812-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","71","","","",""
"18G057561-B03-01","LGE-825-CO60","A571258945","上横梁装配_C0098879_D_轿内宽1300","1","2019/6/9 0:00","2019/6/6","2","54","","","",""
"17G085610-B03-01","LCA-Ⅱ-1050-CO105","A571258943","上横梁装配_C0098879_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","20","","","",""
"19G024772-B03-01","LGE-1050-CO60","A571258949","上横梁装配_C0098879_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","1","25","","","",""
"17G077692-B03-01","HGP-S-1050-CO105","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","56","","","",""
"18G078218-B03-01","HGE-Ⅲ-825-CO90","Z151263887","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","32","","","",""
"17G080738-B03-01","LGE-630-CO60","A571258674","上横梁装配_C0099960_A_轿内宽1100","1","2019/6/9 0:00","2019/6/6","2","48","","","",""
"17G070949-B03-01","HGE-Ⅲ-1050-CO90","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","51","","","",""
"17G080739-B03-01","LGE-630-CO60","A571258673","上横梁装配_C0099960_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","2","50","","","",""
"16G066831-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","70","","","",""
"19G007652-B03-01","MCA-Ⅱ-1600-CO150","Z151264024","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","74","","","",""
"18G093933-B03-01","LCA-Ⅱ-1050-CO60","A571258935","上横梁装配_C0098880_A_轿内宽1600","1","2019/6/9 0:00","2019/6/6","1","21","","","",""
"18G113816-B03-01","MCA-Ⅱ-1050-CO105","Z151263892","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","31","","","",""
"18G093935-B08-01","MCA-Ⅱ-1600-CO150","Z172262412","轿底加强梁组合","1","2019/6/9 0:00","2019/6/6","2","75","","","",""
"18G072673-B03-01","HGE-Ⅲ-1050-CO90","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","52","","","",""
"18G016371-B03-01","LGE-825-CO60","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","2","53","","","",""
"16G005030-B03-01","LCA-Ⅱ-825-CO90","A571258946","上横梁装配_C0098879_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","1","8","","","",""
"18G047703-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","41","","","",""
"16G066891-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","45","","","",""
"18G072674-B03-01","HGE-Ⅲ-1050-CO90","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","26","","","",""
"17G080742-B03-01","LGE-630-CO60","A571258673","上横梁装配_C0099960_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","1","","","",""
"18G091140-B03-01","HGE-Ⅲ-1050-CO105","Z151263874","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","38","","","",""
"18G096004-B03-01","HGE-Ⅲ-825-CO90","Z151263934","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","3","","","",""
"18G016396-B03-01","LGE-825-CO60","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","1","3","","","",""
"18G012424-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","61","","","",""
"18G109960-B03-01","HGE-Ⅲ-1050-CO105","Z151264051","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","33","","","",""
"17G070955-B03-01","HGE-Ⅲ-825-CO90","Z151264067","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","1","","","",""
"16G066830-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","46","","","",""
"17G062284-B03-01","HGE-Ⅲ-1050-CO105","Z151263915","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","46","","","",""
"19G004839-B03-01","LGE-825-CO90","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","1","6","","","",""
"17G070954-B03-01","HGE-Ⅲ-825-CO90","Z151263986","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","28","","","",""
"18G024815-B03-01","HGE-Ⅲ-1050-CO105","Z151263880","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","29","","","",""
"18G039251-B03-01","MCA-Ⅱ-1050-CO150","Z151263977","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","35","","","",""
"18G078221-B03-01","HGE-Ⅲ-1050-CO90","Z151263874","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","19","","","",""
"19G037861-B03-01","LGE-1050-CO60","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","51","","","",""
"17G093768-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","23","","","",""
"16G066813-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","47","","","",""
"18G039250-B03-01","MCA-Ⅱ-1050-CO150","Z151263977","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","34","","","",""
"18G065811-B03-01","HGE-Ⅲ-1050-CO90","Z151263879","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","30","","","",""
"18G074902-B03-01","MCA-Ⅱ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","49","","","",""
"17G062282-B03-01","HGE-Ⅲ-1050-CO105","Z151263915","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","24","","","",""
"18G060355-B03-01","HGE-S-825-CO105","Z151264047","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","9","","","",""
"16G066875-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","2","43","","","",""
"18G108431-B03-01","HGP-S-825-CO105","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","18","","","",""
"18G089227-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","47","","","",""
"16G005031-B03-01","LCA-Ⅱ-825-CO90","A571258946","上横梁装配_C0098879_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","2","56","","","",""
"18G012437-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","1","17","","","",""
"16G066893-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","72","","","",""
"18G074903-B03-01","MCA-Ⅱ-900-CO105","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","30","","","",""
"18G108435-B03-01","HGP-S-825-CO105","Z151263887","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","29","","","",""
"18G078220-B03-01","HGE-Ⅲ-825-CO90","Z151263887","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","57","","","",""
"18G113309-B03-01","LCA-Ⅱ-1050-CO105","A571258949","上横梁装配_C0098879_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","63","","","",""
"19G007652-B08-01","MCA-Ⅱ-1600-CO150","Z172262103","轿底加强梁组合","1","2019/6/9 0:00","2019/6/6","2","74","","","",""
"19G035169-B03-01","LCA-Ⅱ-825-CO60","A571258946","上横梁装配_C0098879_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","2","71","","","",""
"18G091165-B03-01","HGE-Ⅲ-825-CO105","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","41","","","",""
"17G082709-B03-01","HGE-Ⅲ-825-CO60","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","40","","","",""
"18G120830-B03-01","MCA-Ⅱ-825-CO120","Z151264096","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","38","","","",""
"18G060353-B03-01","HGE-S-825-CO105","Z151264047","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","35","","","",""
"18G091139-B03-01","HGE-Ⅲ-825-CO105","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","16","","","",""
"17G085631-B03-01","LCA-Ⅱ-1050-CO105","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","19","","","",""
"18G108432-B03-01","HGP-S-1050-CO105","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","45","","","",""
"18G060352-B03-01","HGE-S-825-CO105","Z151264217","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","34","","","",""
"18G108439-B03-01","HGP-S-825-CO105","Z151263887","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","55","","","",""
"17G085630-B03-01","LCA-Ⅱ-1050-CO105","A571258943","上横梁装配_C0098879_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","14","","","",""
"18G120833-B03-01","MCA-Ⅱ-825-CO120","Z151264096","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","64","","","",""
"18G119861-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","10","","","",""
"16G005032-B03-01","LCA-Ⅱ-825-CO90","A571258946","上横梁装配_C0098879_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","2","59","","","",""
"18G120829-B03-01","MCA-Ⅱ-1050-CO120","Z151264065","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","37","","","",""
"18G047701-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","67","","","",""
"17G080741-B03-01","LGE-630-CO60","A571258674","上横梁装配_C0099960_A_轿内宽1100","1","2019/6/9 0:00","2019/6/6","2","49","","","",""
"19G033601-B03-01","VGE-Ⅱ-320-2S24","A571258964","上横梁装配_C0106983_E_轿内宽800_轿内宽800,限速器在三象限","1","2019/6/9 0:00","2019/6/6","1","68","","","",""
"18G113817-B03-01","MCA-Ⅱ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","50","","","",""
"18G132221-B03-01","MCA-Ⅱ-1050-CO105","Z151263912","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","11","","","",""
"18G039252-B03-01","MCA-Ⅱ-1050-CO150","Z151263977","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","60","","","",""
"18G132220-B03-01","MCA-Ⅱ-1050-CO105","Z151263895","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","37","","","",""
"18G096006-B03-01","HGE-Ⅲ-825-CO90","Z151264002","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","4","","","",""
"19G007650-B08-01","MCA-Ⅱ-1150-CO150","Z172262071","轿底加强梁组合","1","2019/6/9 0:00","2019/6/6","1","76","","","",""
"18G108443-B03-01","HGP-S-825-CO105","Z151263887","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","54","","","",""
"18G012425-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","66","","","",""
"18G012427-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","64","","","",""
"18G082613-B03-01","LGE-450-CO60","A571259268","上横梁装配_C0104085_A_轿内宽1000","1","2019/6/9 0:00","2019/6/6","1","27","","","",""
"18G082614-B03-01","LGE-450-CO60","A571259268","上横梁装配_C0104085_A_轿内宽1000","1","2019/6/9 0:00","2019/6/6","2","73","","","",""
"18G072662-B03-01","HGE-Ⅲ-1050-CO90","Z151263884","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","53","","","",""
"18G057560-B03-01","LGE-825-CO60","A571258945","上横梁装配_C0098879_D_轿内宽1300","1","2019/6/9 0:00","2019/6/6","2","58","","","",""
"16G066890-B03-01","VGE-400-CO24","A571013953","上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限","1","2019/6/9 0:00","2019/6/6","1","74","","","",""
"18G093935-B03-01","MCA-Ⅱ-1600-CO150","Z151264668","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","75","","","",""
"18G052588-B03-01","MCA-Ⅱ-1050-2S120","Z151264116","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","62","","","",""
"18G078219-B03-01","HGE-Ⅲ-1050-CO90","Z151263874","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","44","","","",""
"18G120832-B03-01","MCA-Ⅱ-1050-CO120","Z151264065","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","63","","","",""
"18G091138-B03-01","HGE-Ⅲ-1050-CO105","Z151263874","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","12","","","",""
"18G118992-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","65","","","",""
"18G016370-B03-01","LGE-825-CO60","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","1","7","","","",""
"18G118990-B03-01","LCA-Ⅱ-1050-CO105","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","67","","","",""
"18G096008-B03-01","HGE-Ⅲ-825-CO90","Z151264002","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","5","","","",""
"19G024771-B03-01","LGE-1050-CO60","A571259275","上横梁装配_C0104085_H_轿内宽1600","1","2019/6/9 0:00","2019/6/6","2","72","","","",""
"18G108437-B03-01","HGP-S-825-CO105","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","17","","","",""
"18G016372-B03-01","LGE-825-CO60","A571259272","上横梁装配_C0104085_E_轿内宽1350","1","2019/6/9 0:00","2019/6/6","2","60","","","",""
"19G035176-B03-01","MCA-Ⅱ-1050-CO90","Z151264234","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","10","","","",""
"19G007651-B08-01","MCA-Ⅱ-1150-CO150","Z172262071","轿底加强梁组合","1","2019/6/9 0:00","2019/6/6","1","75","","","",""
"18G039253-B03-01","MCA-Ⅱ-1050-CO150","Z151263984","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","59","","","",""
"18G060354-B03-01","HGE-S-825-CO105","Z151264217","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","8","","","",""
"18G109573-B03-01","LGE-630-CO60","A571259269","上横梁装配_C0104085_B_轿内宽1100","1","2019/6/9 0:00","2019/6/6","1","9","","","",""
"17G070948-B03-01","HGE-Ⅲ-825-CO90","Z151263882","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","39","","","",""
"18G089233-B03-01","HGE-Ⅲ-1050-CO105","Z151263881","上横梁组合","1","2019/6/9 0:00","2019/6/6","2","25","","","",""
"18G052590-B03-01","MCA-Ⅱ-1050-2S120","Z151264476","上横梁组合","1","2019/6/9 0:00","2019/6/6","1","61","","","",""
"19R000612-B03-01","UCA-825-CO61","A571259276","立柱总装","1","2019/6/10 0:00","2019/6/6","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
