物料编码,物料类型,物料描述,是否确认,版本,类别分配,物料状态,单位,主图号,作业,名称,型号规格,成型尺寸,材质,开料尺寸,辅助图号,URL地址,生产ATO类型,材质ATO类型,非标描述,是否确认,制造或购买,安全库存量,计划员,限额领料,部件参数组,按需交付,生产模式,跟工号计划,供应类型,供应子库,供应货位,预加工提前期,加工中提前期,后加工提前期,固定提前期,可变提前期,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,属性备注,配送标识,VMI标识,是否确认,采购员,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,加工中提前期,默认子库,默认货位,默认仓管员,默认厂区,材质,长,宽,高,毛重,净重,是否循环使用
Z161010070,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"图号W4500964_A_总装图生产按12506181_E制作，图中：L1＝3181，L2＝3097，L3=3032,L4=2836,L5=2732,PLF.HT＝2900.图号W4500984_A_总装图生产按12501503_B制作，图中：L1＝3181，L2＝3097，L3=2836.",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010071,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010073,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010074,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010075,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"图号 W4502624 _A_装配图生产按22500968_F制作，图中：H1=3862, H2=1475.5.图号W4502707_A_装配图生产按22500969_B制作，图中：L1=3249, L2=2979.5,L3=3233.",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161010076,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010077,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010078,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010079,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010080,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010081,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
